state_name,county_fips,county_name,per_dem,per_gop,per_oth,total_votes
Alabama,1001,Autauga,0,0.8583,0.1417,3459
Alabama,1003,Baldwin,0,0.8112,0.1888,13400
Alabama,1005,Barbour,0,0.7976,0.2024,4831
Alabama,1007,Bibb,0,0.8394,0.1606,3125
Alabama,1009,Blount,0,0.6467,0.3533,6869
Alabama,1011,Bullock,0,0.5764,0.4236,2630
Alabama,1013,Butler,0,0.8044,0.1956,4975
Alabama,1015,Calhoun,0,0.6313,0.3687,16845
Alabama,1017,Chambers,0,0.6442,0.3558,7187
Alabama,1019,Cherokee,0,0.497,0.503,3809
Alabama,1021,Chilton,0,0.7597,0.2403,6847
Alabama,1023,Choctaw,0,0.8581,0.1419,2910
Alabama,1025,Clarke,0,0.8284,0.1716,5384
Alabama,1027,Clay,0,0.7013,0.2987,4014
Alabama,1029,Cleburne,0,0.7624,0.2376,2828
Alabama,1031,Coffee,0,0.8019,0.1981,6123
Alabama,1033,Colbert,0,0.4859,0.5141,10840
Alabama,1035,Conecuh,0,0.8132,0.1868,3421
Alabama,1037,Coosa,0,0.7277,0.2723,2718
Alabama,1039,Covington,0,0.8233,0.1767,9175
Alabama,1041,Crenshaw,0,0.7866,0.2134,3824
Alabama,1043,Cullman,0,0.5833,0.4167,12262
Alabama,1045,Dale,0,0.8377,0.1623,5933
Alabama,1047,Dallas,0,0.8912,0.1088,6607
Alabama,1049,DeKalb,0,0.5769,0.4231,11694
Alabama,1051,Elmore,0,0.8377,0.1623,7596
Alabama,1053,Escambia,0,0.7447,0.2553,7551
Alabama,1055,Etowah,0,0.5906,0.4094,21833
Alabama,1057,Fayette,0,0.7134,0.2866,4490
Alabama,1059,Franklin,0,0.5641,0.4359,7135
Alabama,1061,Geneva,0,0.8074,0.1926,5576
Alabama,1063,Greene,0,0.6569,0.3431,1711
Alabama,1065,Hale,0,0.776,0.224,2446
Alabama,1067,Henry,0,0.831,0.169,3485
Alabama,1069,Houston,0,0.8793,0.1207,11774
Alabama,1071,Jackson,0,0.4647,0.5353,5875
Alabama,1073,Jefferson,0,0.7257,0.2743,138838
Alabama,1075,Lamar,0,0.7242,0.2758,3775
Alabama,1077,Lauderdale,0,0.4755,0.5245,12571
Alabama,1079,Lawrence,0,0.5001,0.4999,3617
Alabama,1081,Lee,0,0.7869,0.2131,7516
Alabama,1083,Limestone,0,0.4399,0.5601,5404
Alabama,1085,Lowndes,0,0.8332,0.1668,1858
Alabama,1087,Macon,0,0.3846,0.6154,4831
Alabama,1089,Madison,0,0.5193,0.4807,27496
Alabama,1091,Marengo,0,0.8233,0.1767,4466
