state_name,county_fips,county_name,per_dem,per_gop,per_oth,total_votes,per_point_diff
Alabama,1001,Autauga,0.2702,0.7144,0.0154,27770,-0.4442
Alabama,1003,Baldwin,0.2241,0.7617,0.0142,109679,-0.5376
Alabama,1005,Barbour,0.4579,0.5345,0.0076,10518,-0.0766
Alabama,1007,Bibb,0.207,0.7843,0.0088,9595,-0.5773
Alabama,1009,Blount,0.0957,0.8957,0.0086,27588,-0.8
Alabama,1011,Bullock,0.747,0.2484,0.0046,4613,0.4986
Alabama,1013,Butler,0.4179,0.5753,0.0069,9488,-0.1574
Alabama,1015,Calhoun,0.2985,0.6885,0.0131,50983,-0.39
Alabama,1017,Chambers,0.4164,0.5727,0.0109,15284,-0.1563
Alabama,1019,Cherokee,0.132,0.8603,0.0076,12301,-0.7283
Alabama,1021,Chilton,0.1591,0.833,0.0079,19310,-0.6739
Alabama,1023,Choctaw,0.4189,0.5756,0.0055,7464,-0.1567
Alabama,1025,Clarke,0.4381,0.5576,0.0043,13135,-0.1195
Alabama,1027,Clay,0.1828,0.8082,0.0089,6930,-0.6254
Alabama,1029,Cleburne,0.0934,0.8972,0.0094,7227,-0.8038
Alabama,1031,Coffee,0.2279,0.7587,0.0135,22275,-0.5308
Alabama,1033,Colbert,0.2992,0.6886,0.0122,27886,-0.3894
Alabama,1035,Conecuh,0.4605,0.5344,0.0051,6441,-0.0739
Alabama,1037,Coosa,0.3278,0.6627,0.0095,5479,-0.3349
Alabama,1039,Covington,0.1561,0.8368,0.0071,17430,-0.6807
Alabama,1041,Crenshaw,0.2569,0.7351,0.008,6617,-0.4782
Alabama,1043,Cullman,0.107,0.8812,0.0118,41851,-0.7742
Alabama,1045,Dale,0.2619,0.7246,0.0134,19738,-0.4627
Alabama,1047,Dallas,0.6846,0.3092,0.0062,17864,0.3754
Alabama,1049,DeKalb,0.1458,0.8437,0.0105,29356,-0.6979
Alabama,1051,Elmore,0.2527,0.7352,0.0122,41030,-0.4825
Alabama,1053,Escambia,0.3091,0.6832,0.0077,15910,-0.3741
Alabama,1055,Etowah,0.2424,0.7444,0.0133,47728,-0.502
Alabama,1057,Fayette,0.1591,0.8328,0.0081,8766,-0.6737
Alabama,1059,Franklin,0.1658,0.8249,0.0092,12578,-0.6591
Alabama,1061,Geneva,0.1271,0.8647,0.0081,12545,-0.7376
Alabama,1063,Greene,0.8134,0.1832,0.0034,4775,0.6302
Alabama,1065,Hale,0.5903,0.4041,0.0057,7900,0.1862
Alabama,1067,Henry,0.2803,0.7106,0.0091,9298,-0.4303
Alabama,1069,Houston,0.2798,0.7064,0.0138,46173,-0.4266
Alabama,1071,Jackson,0.1573,0.8322,0.0105,23636,-0.6749
Alabama,1073,Jefferson,0.5576,0.4261,0.0163,325848,0.1315
Alabama,1075,Lamar,0.136,0.8583,0.0057,7193,-0.7223
Alabama,1077,Lauderdale,0.2687,0.7154,0.0159,44339,-0.4467
Alabama,1079,Lawrence,0.2222,0.7686,0.0092,16031,-0.5464
Alabama,1081,Lee,0.3899,0.5909,0.0191,71449,-0.201
Alabama,1083,Limestone,0.2777,0.7036,0.0187,49235,-0.4259
Alabama,1085,Lowndes,0.7274,0.2686,0.004,6835,0.4588
Alabama,1087,Macon,0.8149,0.1767,0.0085,8723,0.6382
Alabama,1089,Madison,0.4482,0.5277,0.0241,194767,-0.0795
